Campaign,Ad Group,Ad Type,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Status
NS-SRCH-Locksmith,Core-Intent,Responsive search ad,https://nisan-shemaryahu.vercel.app/מנעולן,מנעולן מוסמך + אישור משטרה,1,ננעלתם בחוץ? ניסן בדרך,,פריצת דלת בלי לשבור,,פתיחה בלי נזק לדלת,,החלפת צילינדר במקום,,אישור משטרה — לא שכיח,,ננעלתם בחוץ?,,פותח כל סוג מנעול,,התקנת מנעול רב בריח,,מנעולן אמין ומקצועי,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,פריצת דלתות בלי לשבור. מנעולן מוסמך ומאושר משטרה. המחיר נסגר בטלפון מראש,1,"ננעלתם בחוץ או שהדלת נטרקה? ניסן מגיע, פותח נקי ומחליף צילינדר במקום",,מנעולן מוסמך עם אישור משטרה — אות אמון שלא לכל אחד יש. עבודה נקייה,,"זמין 24/6 לכל תקלת נעילה. בעל מקצוע אחד, מדברים איתו ישירות",,מנעולן,מוסמך,Enabled
NS-SRCH-Locksmith,Core-Intent,Responsive search ad,https://nisan-shemaryahu.vercel.app/מנעולן,מחיר סגור מראש בטלפון,1,אין הפתעות בסוף העבודה,,הדלת נטרקה?,,פריצת דלת מ-250 ₪,,המחיר נסגר לפני שיוצאים,,מה שסיכמנו זה מה שתשלמו,,ננעלתם בחוץ?,,בלי תוספות באמצע,,יודעים כמה עוד לפני,,מחיר הוגן ושקוף,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"המחיר נסגר בטלפון לפני שיוצאים אליכם. מה שסיכמנו זה מה שתשלמו, בלי תוספות",1,"פריצת דלת מ-250 ₪, מחיר מלא סגור מראש. בלי תוספות שצצות בסוף העבודה",,"לא נוקבים מחיר נמוך בטלפון ומעלים אותו בדלת. מחיר אחד, סגור, מראש",,"זמין 24/6 לכל תקלת נעילה. בעל מקצוע אחד, מדברים איתו ישירות",,מנעולן,מחיר-סגור,Enabled
NS-SRCH-Locksmith,Geo-Heartland,Responsive search ad,https://nisan-shemaryahu.vercel.app/מנעולן-באור-יהודה,מנעולן ב{LOCATION(City):אור יהודה},1,מנעולן מוסמך ב{LOCATION(City):אור יהודה},2,פריצת דלת בלי לשבור,,פתיחה בלי נזק לדלת,,החלפת צילינדר במקום,,אישור משטרה — לא שכיח,,ננעלתם בחוץ?,,פותח כל סוג מנעול,,התקנת מנעול רב בריח,,מנעולן אמין ומקצועי,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,פריצת דלתות בלי לשבור. מנעולן מוסמך ומאושר משטרה. המחיר נסגר בטלפון מראש,1,"ננעלתם בחוץ או שהדלת נטרקה? ניסן מגיע, פותח נקי ומחליף צילינדר במקום",,מנעולן מוסמך עם אישור משטרה — אות אמון שלא לכל אחד יש. עבודה נקייה,,"זמין 24/6 לכל תקלת נעילה. בעל מקצוע אחד, מדברים איתו ישירות",,מנעולן,מוסמך,Enabled
NS-SRCH-Locksmith,Geo-Heartland,Responsive search ad,https://nisan-shemaryahu.vercel.app/מנעולן-באור-יהודה,מנעולן ב{LOCATION(City):אור יהודה},1,מחיר סגור מראש בטלפון,2,הדלת נטרקה?,,פריצת דלת מ-250 ₪,,המחיר נסגר לפני שיוצאים,,מה שסיכמנו זה מה שתשלמו,,ננעלתם בחוץ?,,בלי תוספות באמצע,,יודעים כמה עוד לפני,,מחיר הוגן ושקוף,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"המחיר נסגר בטלפון לפני שיוצאים אליכם. מה שסיכמנו זה מה שתשלמו, בלי תוספות",1,"פריצת דלת מ-250 ₪, מחיר מלא סגור מראש. בלי תוספות שצצות בסוף העבודה",,"לא נוקבים מחיר נמוך בטלפון ומעלים אותו בדלת. מחיר אחד, סגור, מראש",,"זמין 24/6 לכל תקלת נעילה. בעל מקצוע אחד, מדברים איתו ישירות",,מנעולן,מחיר-סגור,Enabled
NS-SRCH-Locksmith,Geo-Extended,Responsive search ad,https://nisan-shemaryahu.vercel.app/מנעולן-בלוד,מנעולן ב{LOCATION(City):לוד},1,מנעולן מוסמך ב{LOCATION(City):לוד},2,פריצת דלת בלי לשבור,,פתיחה בלי נזק לדלת,,החלפת צילינדר במקום,,אישור משטרה — לא שכיח,,ננעלתם בחוץ?,,פותח כל סוג מנעול,,התקנת מנעול רב בריח,,מנעולן אמין ומקצועי,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,פריצת דלתות בלי לשבור. מנעולן מוסמך ומאושר משטרה. המחיר נסגר בטלפון מראש,1,"ננעלתם בחוץ או שהדלת נטרקה? ניסן מגיע, פותח נקי ומחליף צילינדר במקום",,מנעולן מוסמך עם אישור משטרה — אות אמון שלא לכל אחד יש. עבודה נקייה,,"זמין 24/6 לכל תקלת נעילה. בעל מקצוע אחד, מדברים איתו ישירות",,מנעולן,מוסמך,Enabled
NS-SRCH-Locksmith,Geo-Extended,Responsive search ad,https://nisan-shemaryahu.vercel.app/מנעולן-בלוד,מנעולן ב{LOCATION(City):לוד},1,מחיר סגור מראש בטלפון,2,הדלת נטרקה?,,פריצת דלת מ-250 ₪,,המחיר נסגר לפני שיוצאים,,מה שסיכמנו זה מה שתשלמו,,ננעלתם בחוץ?,,בלי תוספות באמצע,,יודעים כמה עוד לפני,,מחיר הוגן ושקוף,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"המחיר נסגר בטלפון לפני שיוצאים אליכם. מה שסיכמנו זה מה שתשלמו, בלי תוספות",1,"פריצת דלת מ-250 ₪, מחיר מלא סגור מראש. בלי תוספות שצצות בסוף העבודה",,"לא נוקבים מחיר נמוך בטלפון ומעלים אותו בדלת. מחיר אחד, סגור, מראש",,"זמין 24/6 לכל תקלת נעילה. בעל מקצוע אחד, מדברים איתו ישירות",,מנעולן,מחיר-סגור,Enabled
NS-SRCH-Plumbing,Core-Intent,Responsive search ad,https://nisan-plumbing.vercel.app/אינסטלטור,קריאה 350 ₪ — מתקזזת,1,נזילה או סתימה? מטפל,,קריאת אבחון 350 ₪,,מתקזזת במלואה בתיקון,,מחיר ברור לפני העבודה,,"סתימות, צנרת ודודים",,נזילה או סתימה?,,משלמים פעם אחת,,אבחון מדויק לפני תיקון,,פתיחת סתימות מקצועית,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"ביקור אבחון 350 ₪, ומתקזז במלואו אם ממשיכים לתיקון. מחיר ברור לפני העבודה",1,לא משלמים פעמיים. דמי הקריאה יורדים מהמחיר הסופי אם ממשיכים לתיקון,,"ניסן מגיע, מאבחן ואומר בדיוק מה צריך ומה זה עולה, לפני שמתחילים",,"זמין 24/6 לתקלות דחופות. מדברים ישירות עם בעל המקצוע, לא עם מוקד",,אינסטלטור,קריאה-מתקזזת,Enabled
NS-SRCH-Plumbing,Core-Intent,Responsive search ad,https://nisan-plumbing.vercel.app/אינסטלטור,פיצוץ צנרת? מטפל עכשיו,1,סתימה דחופה? התקשרו,,הצפה בבית?,,נזילה שלא נעצרת,,סתימה שחוזרת שוב ושוב,,אינסטלטור מנוסה ואזורי,,סתימה או נזילה?,,לא מחכים לבוקר,,פתיחת סתימות דחופה,,מגיע עם כל הציוד,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"סתימה, נזילה או פיצוץ צנרת. ניסן מגיע, מאבחן ואומר בדיוק מה צריך, בלי לנחש",1,"תקלת חירום לא מחכה לבוקר. ניסן מטפל בזה עכשיו, נקי ומסודר",,ניסיון רב בכל סוגי תקלות האינסטלציה. עובד נקי ומשאיר את הבית מסודר,,"זמין 24/6 לתקלות דחופות. מדברים ישירות עם בעל המקצוע, לא עם מוקד",,אינסטלטור,חירום,Enabled
NS-SRCH-Plumbing,Geo-Heartland,Responsive search ad,https://nisan-plumbing.vercel.app/אינסטלטור-באור-יהודה,אינסטלטור ב{LOCATION(City):אור יהודה},1,קריאה 350 ₪ — מתקזזת,2,קריאת אבחון 350 ₪,,מתקזזת במלואה בתיקון,,מחיר ברור לפני העבודה,,"סתימות, צנרת ודודים",,נזילה או סתימה?,,משלמים פעם אחת,,אבחון מדויק לפני תיקון,,פתיחת סתימות מקצועית,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"ביקור אבחון 350 ₪, ומתקזז במלואו אם ממשיכים לתיקון. מחיר ברור לפני העבודה",1,לא משלמים פעמיים. דמי הקריאה יורדים מהמחיר הסופי אם ממשיכים לתיקון,,"ניסן מגיע, מאבחן ואומר בדיוק מה צריך ומה זה עולה, לפני שמתחילים",,"זמין 24/6 לתקלות דחופות. מדברים ישירות עם בעל המקצוע, לא עם מוקד",,אינסטלטור,קריאה-מתקזזת,Enabled
NS-SRCH-Plumbing,Geo-Heartland,Responsive search ad,https://nisan-plumbing.vercel.app/אינסטלטור-באור-יהודה,אינסטלטור ב{LOCATION(City):אור יהודה},1,שרברב ב{LOCATION(City):אור יהודה},2,הצפה בבית?,,נזילה שלא נעצרת,,סתימה שחוזרת שוב ושוב,,אינסטלטור מנוסה ואזורי,,סתימה או נזילה?,,לא מחכים לבוקר,,פתיחת סתימות דחופה,,מגיע עם כל הציוד,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"סתימה, נזילה או פיצוץ צנרת. ניסן מגיע, מאבחן ואומר בדיוק מה צריך, בלי לנחש",1,"תקלת חירום לא מחכה לבוקר. ניסן מטפל בזה עכשיו, נקי ומסודר",,ניסיון רב בכל סוגי תקלות האינסטלציה. עובד נקי ומשאיר את הבית מסודר,,"זמין 24/6 לתקלות דחופות. מדברים ישירות עם בעל המקצוע, לא עם מוקד",,אינסטלטור,חירום,Enabled
NS-SRCH-Plumbing,Geo-Extended,Responsive search ad,https://nisan-plumbing.vercel.app/אינסטלטור-בלוד,אינסטלטור ב{LOCATION(City):לוד},1,קריאה 350 ₪ — מתקזזת,2,קריאת אבחון 350 ₪,,מתקזזת במלואה בתיקון,,מחיר ברור לפני העבודה,,"סתימות, צנרת ודודים",,נזילה או סתימה?,,משלמים פעם אחת,,אבחון מדויק לפני תיקון,,פתיחת סתימות מקצועית,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"ביקור אבחון 350 ₪, ומתקזז במלואו אם ממשיכים לתיקון. מחיר ברור לפני העבודה",1,לא משלמים פעמיים. דמי הקריאה יורדים מהמחיר הסופי אם ממשיכים לתיקון,,"ניסן מגיע, מאבחן ואומר בדיוק מה צריך ומה זה עולה, לפני שמתחילים",,"זמין 24/6 לתקלות דחופות. מדברים ישירות עם בעל המקצוע, לא עם מוקד",,אינסטלטור,קריאה-מתקזזת,Enabled
NS-SRCH-Plumbing,Geo-Extended,Responsive search ad,https://nisan-plumbing.vercel.app/אינסטלטור-בלוד,אינסטלטור ב{LOCATION(City):לוד},1,שרברב ב{LOCATION(City):לוד},2,הצפה בבית?,,נזילה שלא נעצרת,,סתימה שחוזרת שוב ושוב,,אינסטלטור מנוסה ואזורי,,סתימה או נזילה?,,לא מחכים לבוקר,,פתיחת סתימות דחופה,,מגיע עם כל הציוד,,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,"סתימה, נזילה או פיצוץ צנרת. ניסן מגיע, מאבחן ואומר בדיוק מה צריך, בלי לנחש",1,"תקלת חירום לא מחכה לבוקר. ניסן מטפל בזה עכשיו, נקי ומסודר",,ניסיון רב בכל סוגי תקלות האינסטלציה. עובד נקי ומשאיר את הבית מסודר,,"זמין 24/6 לתקלות דחופות. מדברים ישירות עם בעל המקצוע, לא עם מוקד",,אינסטלטור,חירום,Enabled
NS-SRCH-Handyman,Core-Intent,Responsive search ad,https://nisan-handyman.vercel.app/הנדימן,איש אחד לכל הבית,1,רשימת תיקונים? סוגר הכל,,רשימת התיקונים מתארכת?,,במקום 3 בעלי מקצוע,,"הרכבות, צבע ותיקונים",,מחיר לפי גודל העבודה,,תיקון קטן? מטפל,,הרכבת רהיטים ומדפים,,צביעה ותיקוני גבס,,"ביקור אחד, רשימה סגורה",,ניסן שמריהו — בעל מקצוע אחד,,"מדברים איתי, לא עם מוקד",,זמין 24/6 לתקלות,,עבודה נקייה ומסודרת,,חייגו או שלחו וואטסאפ,,במקום לתאם שלושה בעלי מקצוע — מתקשרים לאחד. מחיר נקבע לפי היקף העבודה,1,רשימת התיקונים הקטנים שרק מתארכת? ניסן מגיע פעם אחת וסוגר את כולה,,"הרכבת רהיטים, תליית מדפים, צביעה והחלפת ברזים. איש אחד, ביקור אחד",,מדברים ישירות עם בעל המקצוע. מחיר סגור בטלפון לפני שמתחילים לעבוד,,הנדימן,כל-הבית,Enabled
