Campaign,Ad Group,Negative keyword,Match Type,Status,Shared Set Name
NS-SRCH-Locksmith,,מידרג,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,midrag,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,b144,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,בזק 144,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,זאפ,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,zap,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,פרו קום,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,pro.co.il,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,המקצוענים,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,easy.co.il,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,איזי,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,t.co.il,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,רוטר,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,נבחרי רוטר,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,אולגוד,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,all good,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,יצאת צדיק,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,דירוג בעלי מקצוע,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,השוואת מחירים,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,3 הצעות מחיר,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,קבלת הצעות מחיר,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,בעלי מקצוע מומלצים,Negative phrase,Enabled,NEG_מתווכים
NS-SRCH-Locksmith,,דרושים,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,דרוש,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,משרה,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,שכר,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,משכורת,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,כמה מרוויח,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,קורס,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,קורסים,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,לימודי,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,הכשרה,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,תעודה,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,רישיון עבודה,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,איך ל,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,בעצמי,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,diy,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,מדריך,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,הסבר,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,ויקיפדיה,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,wikipedia,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,חינם,Negative phrase,Enabled,NEG_לא_לקוחות
NS-SRCH-Locksmith,,בחינם,Negative phrase,Enabled,NEG_לא_לקוחות
